GeneID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IncFormLen	SkipFormLen	IncLevel1	Type
BnaA01G0053300ZS	chrscaffoldA01	+	2895006	2895347	2895018	2895347	2894713	2894926	552	11	160	148	0.979	A3SS
BnaA01G0053300ZS	chrscaffoldA01	+	2895006	2895347	2895018	2895347	2894713	2894926	657	27	160	148	0.957	A3SS
BnaA01G0054800ZS	chrscaffoldA01	-	2958646	2958746	2958646	2958743	2958834	2958906	6	1	151	148	0.855	A3SS
BnaA01G0056000ZS	chrscaffoldA01	-	3013214	3013458	3013214	3013421	3013549	3013792	1	19	185	148	0.04	A3SS
BnaA01G0056000ZS	chrscaffoldA01	-	3013214	3013458	3013214	3013421	3013549	3013792	4	12	185	148	0.211	A3SS
BnaA01G0056700ZS	chrscaffoldA01	-	3046059	3046315	3046059	3046264	3046401	3046489	2	0	199	148	1	A3SS
BnaA01G0062600ZS	chrscaffoldA01	+	3335562	3335721	3335580	3335721	3335063	3335184	1	0	166	148	1	A3SS
BnaA01G0062600ZS	chrscaffoldA01	+	3335562	3335721	3335583	3335721	3335063	3335184	1	0	169	148	1	A3SS
BnaA01G0062800ZS	chrscaffoldA01	-	3342161	3342512	3342161	3342509	3342582	3342873	3	0	151	148	1	A3SS
BnaA01G0062800ZS	chrscaffoldA01	-	3342582	3342873	3342582	3342870	3342940	3343549	3	0	151	148	1	A3SS
BnaA01G0071400ZS	chrscaffoldA01	+	3932940	3934152	3932976	3934152	3931638	3932628	4	0	184	148	1	A3SS
BnaA01G0072000ZS	chrscaffoldA01	-	3988601	3988714	3988601	3988697	3989359	3989529	2	1	165	148	0.642	A3SS
BnaA01G0074800ZS	chrscaffoldA01	+	4180111	4180228	4180117	4180228	4179908	4180007	1	0	154	148	1	A3SS
BnaA01G0074800ZS	chrscaffoldA01	+	4180111	4180228	4180117	4180228	4179908	4180007	2	0	154	148	1	A3SS
BnaA01G0075700ZS	chrscaffoldA01	-	4202978	4203076	4202978	4203073	4203181	4203889	2	1	151	148	0.662	A3SS
BnaA01G0077200ZS	chrscaffoldA01	+	4281871	4282070	4281888	4282070	4281469	4281537	8	1	165	148	0.878	A3SS
BnaA01G0081100ZS	chrscaffoldA01	+	4555748	4555870	4555753	4555870	4555401	4555656	32	0	153	148	1	A3SS
BnaA01G0081100ZS	chrscaffoldA01	+	4555748	4555870	4555753	4555870	4555401	4555656	6	0	153	148	1	A3SS
BnaA01G0084300ZS	chrscaffoldA01	+	4740302	4740504	4740308	4740504	4739630	4740234	15	0	154	148	1	A3SS
BnaA01G0084300ZS	chrscaffoldA01	+	4740302	4740504	4740308	4740504	4739630	4740234	9	0	154	148	1	A3SS
BnaA01G0087300ZS	chrscaffoldA01	+	4940215	4940336	4940221	4940336	4939697	4939840	3	2	154	148	0.59	A3SS
BnaA01G0087300ZS	chrscaffoldA01	+	4940215	4940336	4940221	4940336	4939697	4939840	8	9	154	148	0.461	A3SS
BnaA01G0090500ZS	chrscaffoldA01	-	5192711	5192789	5192711	5192779	5192880	5192927	4	0	158	148	1	A3SS
BnaA01G0090700ZS	chrscaffoldA01	-	5208639	5208765	5208639	5208741	5208852	5209018	36	6	172	148	0.838	A3SS
BnaA01G0090700ZS	chrscaffoldA01	-	5208639	5208765	5208639	5208741	5208852	5209018	43	6	172	148	0.86	A3SS
BnaA01G0090900ZS	chrscaffoldA01	+	5213520	5213672	5213576	5213672	5213300	5213417	11	1	204	148	0.889	A3SS
BnaA01G0090900ZS	chrscaffoldA01	+	5213520	5213672	5213576	5213672	5213300	5213417	7	0	204	148	1	A3SS
BnaA01G0092000ZS	chrscaffoldA01	-	5258792	5259021	5258792	5259015	5259201	5259239	1	1	154	148	0.49	A3SS
BnaA01G0093200ZS	chrscaffoldA01	-	5350330	5351659	5350330	5351652	5351876	5351975	4	1	155	148	0.793	A3SS
BnaA01G0099500ZS	chrscaffoldA01	+	5713729	5713970	5713735	5713970	5713123	5713213	33	14	154	148	0.694	A3SS
BnaA01G0099500ZS	chrscaffoldA01	+	5713729	5713970	5713735	5713970	5713123	5713213	5	3	154	148	0.616	A3SS
BnaA01G0099500ZS	chrscaffoldA01	+	5717326	5717377	5717335	5717377	5717209	5717251	28	35	157	148	0.43	A3SS
BnaA01G0099500ZS	chrscaffoldA01	+	5717326	5717377	5717335	5717377	5717209	5717251	4	6	157	148	0.386	A3SS
BnaA01G0101600ZS	chrscaffoldA01	+	5829181	5829295	5829232	5829295	5828630	5828776	36	0	199	148	1	A3SS
BnaA01G0101600ZS	chrscaffoldA01	+	5829181	5829295	5829232	5829295	5828630	5828776	6	0	199	148	1	A3SS
BnaA01G0104000ZS	chrscaffoldA01	+	6013793	6014078	6013827	6014078	6013423	6013521	22	3	182	148	0.856	A3SS
BnaA01G0104000ZS	chrscaffoldA01	+	6013793	6014078	6013827	6014078	6013423	6013521	7	2	182	148	0.74	A3SS
BnaA01G0104200ZS	chrscaffoldA01	-	6036275	6036352	6036275	6036349	6036433	6036482	1	10	151	148	0.089	A3SS
BnaA01G0104200ZS	chrscaffoldA01	-	6036275	6036352	6036275	6036349	6036433	6036482	2	23	151	148	0.079	A3SS
BnaA01G0106300ZS	chrscaffoldA01	+	6183902	6184521	6184003	6184521	6183310	6183833	1	0	249	148	1	A3SS
BnaA01G0108700ZS	chrscaffoldA01	+	6307269	6307631	6307272	6307631	6306358	6306436	11	7	151	148	0.606	A3SS
BnaA01G0108700ZS	chrscaffoldA01	+	6307269	6307631	6307272	6307631	6306358	6306436	3	0	151	148	1	A3SS
BnaA01G0109500ZS	chrscaffoldA01	+	6362863	6362983	6362872	6362983	6362647	6362785	199	56	157	148	0.77	A3SS
BnaA01G0109500ZS	chrscaffoldA01	+	6362863	6362983	6362872	6362983	6362647	6362785	200	42	157	148	0.818	A3SS
BnaA01G0109500ZS	chrscaffoldA01	+	6363612	6363687	6363615	6363687	6363457	6363538	230	69	151	148	0.766	A3SS
BnaA01G0109500ZS	chrscaffoldA01	+	6363612	6363687	6363615	6363687	6363457	6363538	231	67	151	148	0.772	A3SS
BnaA01G0109600ZS	chrscaffoldA01	+	6365834	6365873	6365837	6365873	6365383	6365455	1	0	151	148	1	A3SS
BnaA01G0109600ZS	chrscaffoldA01	+	6365834	6365873	6365837	6365873	6365383	6365455	1	2	151	148	0.329	A3SS
BnaA01G0117200ZS	chrscaffoldA01	+	6774072	6774328	6774075	6774328	6773902	6773984	1	0	151	148	1	A3SS
