GeneID	Chr	Start	End	Stand	Description	Preferred_name	GOs	KEGG_ko	PFAMs
BnaA01T0001900ZS	scaffoldA01	231506	232577	+	Belongs to the FPP GGPP synthase family	-	GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009507,GO:0009536,GO:0009579,GO:0009987,GO:0016020,GO:0016740,GO:0016765,GO:0034357,GO:0042214,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043692,GO:0043693,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044436,GO:0044444,GO:0044464,GO:0046246,GO:0071704,GO:1901576	ko:K13789	polyprenyl_synt
BnaA01T0002000ZS	scaffoldA01	236460	240084	+	Serine threonine-protein kinase	-	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004712,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009657,GO:0009658,GO:0009987,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071840,GO:0140096,GO:1901564	-	ACT,Pkinase_Tyr
BnaA01T0002100ZS	scaffoldA01	240276	240789	-	YL1 nuclear protein C-terminal domain	-	-	ko:K11667	YL1_C
BnaA01T0002200ZS	scaffoldA01	244842	245988	-	Thaumatin-like protein 1b	-	-	-	Thaumatin
BnaA01T0002300ZS	scaffoldA01	247129	247726	+	endonuclease activity	-	-	ko:K17710	MAP70,PPR,PPR_1,PPR_2,PPR_3
BnaA01T0002400ZS	scaffoldA01	281278	281574	-	Auxin responsive protein	-	-	ko:K14488	Auxin_inducible
BnaA01T0002500ZS	scaffoldA01	286886	287203	+	Auxin-induced protein 15A-like	-	-	ko:K14488	Auxin_inducible
BnaA01T0002600ZS	scaffoldA01	291150	292778	+	Glutamine phosphoribosylpyrophosphate amidotransferase	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	ko:K00764	GATase_7,Pribosyltran
BnaA01T0002700ZS	scaffoldA01	292860	295957	-	tRNA-dihydrouridine(47) synthase NAD(P)( )	-	GO:0002943,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0016627,GO:0017150,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0055114,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	ko:K05544	Dus,zf-CCCH
BnaA01T0002800ZS	scaffoldA01	296800	297762	-	basic pentacysteine	BBR/BPC4	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0008150,GO:0009719,GO:0009723,GO:0009725,GO:0010033,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044424,GO:0044464,GO:0050896,GO:0097159,GO:1901363	-	GAGA_bind
BnaA01T0002900ZS	scaffoldA01	298864	302706	-	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	-	GO:0000166,GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005871,GO:0005874,GO:0005875,GO:0005911,GO:0006928,GO:0007017,GO:0007018,GO:0008144,GO:0008150,GO:0009506,GO:0009987,GO:0015630,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030054,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035371,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0055044,GO:0097159,GO:0097367,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:1901265,GO:1901363,GO:1990752	ko:K11498	DUF3490,Kinesin
BnaA01T0003000ZS	scaffoldA01	304817	309858	-	fructose-bisphosphate aldolase	-	-	ko:K01623	Glycolytic
BnaA01T0003100ZS	scaffoldA01	311049	313360	-	Belongs to the glycosyl hydrolase 9 (cellulase E) family	-	GO:0000003,GO:0003006,GO:0007275,GO:0008150,GO:0009664,GO:0009791,GO:0009827,GO:0009828,GO:0009900,GO:0009987,GO:0010047,GO:0010154,GO:0016043,GO:0022414,GO:0032501,GO:0032502,GO:0032504,GO:0042545,GO:0045229,GO:0048608,GO:0048609,GO:0048731,GO:0048856,GO:0061458,GO:0071554,GO:0071555,GO:0071669,GO:0071840,GO:1990059	ko:K01179	Glyco_hydro_9
BnaA01T0003200ZS	scaffoldA01	321169	324571	-	Endoglucanase	-	GO:0000003,GO:0003006,GO:0007275,GO:0008150,GO:0009664,GO:0009791,GO:0009827,GO:0009828,GO:0009900,GO:0009987,GO:0010047,GO:0010154,GO:0016043,GO:0022414,GO:0032501,GO:0032502,GO:0032504,GO:0042545,GO:0045229,GO:0048608,GO:0048609,GO:0048731,GO:0048856,GO:0061458,GO:0071554,GO:0071555,GO:0071669,GO:0071840,GO:1990059	ko:K01179	Glyco_hydro_9
BnaA01T0003300ZS	scaffoldA01	331720	334664	+	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family	-	GO:0001101,GO:0002376,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006725,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009058,GO:0009507,GO:0009526,GO:0009536,GO:0009605,GO:0009607,GO:0009617,GO:0009624,GO:0009696,GO:0009697,GO:0009719,GO:0009725,GO:0009751,GO:0009941,GO:0009987,GO:0010033,GO:0010817,GO:0014070,GO:0016053,GO:0016999,GO:0017000,GO:0017144,GO:0018958,GO:0019438,GO:0019752,GO:0031347,GO:0031348,GO:0031967,GO:0031975,GO:0032787,GO:0042221,GO:0042445,GO:0042446,GO:0042493,GO:0042537,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0046189,GO:0046394,GO:0046677,GO:0048519,GO:0048583,GO:0048585,GO:0050789,GO:0050896,GO:0051704,GO:0051707,GO:0065007,GO:0065008,GO:0071704,GO:0072330,GO:0080134,GO:0098542,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901700	-	MatE
BnaA01T0003400ZS	scaffoldA01	341253	342698	-	zinc finger	-	-	-	zf-B_box
BnaA01T0003500ZS	scaffoldA01	347766	354042	+	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase	-	GO:0000323,GO:0000325,GO:0000331,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005794,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006873,GO:0006875,GO:0006882,GO:0006885,GO:0006897,GO:0006909,GO:0006911,GO:0007035,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009507,GO:0009526,GO:0009536,GO:0009678,GO:0009705,GO:0009941,GO:0009987,GO:0010008,GO:0010324,GO:0012505,GO:0012506,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016043,GO:0016192,GO:0016462,GO:0016469,GO:0016471,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019725,GO:0019829,GO:0019899,GO:0022607,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030003,GO:0030004,GO:0030139,GO:0030641,GO:0030659,GO:0030666,GO:0030670,GO:0031090,GO:0031164,GO:0031410,GO:0031967,GO:0031975,GO:0031982,GO:0032009,GO:0032119,GO:0032991,GO:0033176,GO:0034220,GO:0034622,GO:0034641,GO:0034654,GO:0036442,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043181,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044434,GO:0044435,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044769,GO:0045335,GO:0045735,GO:0045851,GO:0046034,GO:0046390,GO:0046483,GO:0046916,GO:0046961,GO:0048878,GO:0050801,GO:0051117,GO:0051179,GO:0051234,GO:0051235,GO:0051238,GO:0051452,GO:0051453,GO:0051641,GO:0051651,GO:0055065,GO:0055067,GO:0055069,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0055086,GO:0061024,GO:0065003,GO:0065007,GO:0065008,GO:0070070,GO:0070071,GO:0070072,GO:0071704,GO:0071840,GO:0071944,GO:0072503,GO:0072507,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0097708,GO:0098588,GO:0098655,GO:0098657,GO:0098660,GO:0098662,GO:0098771,GO:0098796,GO:0098805,GO:0098852,GO:0099024,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600	ko:K02154	V_ATPase_I
BnaA01T0003600ZS	scaffoldA01	354523	356104	-	Belongs to the peptidase C1 family	-	GO:0000323,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005764,GO:0005773,GO:0006508,GO:0006807,GO:0006950,GO:0006952,GO:0006970,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0009056,GO:0009057,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009651,GO:0009987,GO:0016787,GO:0019538,GO:0030163,GO:0042742,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051603,GO:0051704,GO:0051707,GO:0070011,GO:0071704,GO:0098542,GO:0140096,GO:1901564,GO:1901565,GO:1901575	ko:K01373	Inhibitor_I29,Peptidase_C1
BnaA01T0003700ZS	scaffoldA01	357909	358350	-	-	-	-	-	-
BnaA01T0003800ZS	scaffoldA01	359098	362129	-	receptor-like protein kinase	-	GO:0001558,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0009507,GO:0009536,GO:0010769,GO:0016020,GO:0016324,GO:0022603,GO:0022604,GO:0040008,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043900,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045177,GO:0045595,GO:0048638,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0051510,GO:0060284,GO:0065007,GO:0071944,GO:0080092,GO:0098590,GO:2000241	-	Malectin_like,Pkinase_Tyr
BnaA01T0003900ZS	scaffoldA01	362409	363469	-	Bifunctional phosphatase IMPL2	-	GO:0000105,GO:0003674,GO:0003824,GO:0004401,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009507,GO:0009536,GO:0009987,GO:0016053,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0052745,GO:0052803,GO:0052834,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	ko:K18649	Inositol_P
BnaA01T0004000ZS	scaffoldA01	363688	364290	-	-	-	-	-	-
BnaA01T0004100ZS	scaffoldA01	365067	366579	-	protein binding, zinc ion binding	-	-	-	zf-C3HC4,zf-RING_2
BnaA01T0004200ZS	scaffoldA01	368052	369992	-	DNAJ heat shock N-terminal domain-containing protein	-	-	-	DnaJ,DnaJ-X
BnaA01T0004300ZS	scaffoldA01	370599	371241	+	40s ribosomal protein	-	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	ko:K02975	Ribosomal_S25
BnaA01T0004400ZS	scaffoldA01	372047	372475	-	DNA-binding transcription factor activity	-	GO:0003674,GO:0003682,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042393,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0061649,GO:0065007,GO:0080090,GO:0140030,GO:0140035,GO:0140036,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	-	Myb_DNA-binding
BnaA01T0004500ZS	scaffoldA01	375001	375760	-	glycine-rich RNA-binding	-	-	-	RRM_1
BnaA01T0004600ZS	scaffoldA01	379472	379864	-	Egg cell-secreted protein	-	GO:0000003,GO:0005575,GO:0005576,GO:0008150,GO:0009566,GO:0009567,GO:0019953,GO:0022414,GO:0031982,GO:0032879,GO:0032880,GO:0043226,GO:0043227,GO:0043900,GO:0044703,GO:0050789,GO:0051704,GO:0060341,GO:0065007,GO:0080154,GO:0080155,GO:1903827,GO:2000008,GO:2000241	-	Prolamin_like
BnaA01T0004700ZS	scaffoldA01	383309	388678	+	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	-	GO:0000226,GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0005975,GO:0005976,GO:0006073,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009825,GO:0009832,GO:0009833,GO:0009987,GO:0010330,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016049,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030243,GO:0030244,GO:0030865,GO:0031122,GO:0031224,GO:0031226,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043622,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046527,GO:0051273,GO:0051274,GO:0051301,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097435,GO:1901576,GO:1902494,GO:1903047,GO:1990234	ko:K10999	Cellulose_synt,zf-UDP
